class,in_file,out_file,x_min,y_min,x_max,y_max,x_center,y_center,width,height,class_id
cactus,./Data/cactus/4.jpg,./Data/cactus/4.png,0.330357142857143,0.09375,0.709821428571429,0.883928571428571,0.520089285714286,0.488839285714286,0.379464285714286,0.790178571428571,0
cactus,./Data/cactus/10.jpg,./Data/cactus/10.png,0.125,0.066964285714286,0.776785714285714,0.995535714285714,0.450892857142857,0.53125,0.651785714285714,0.928571428571429,0
cactus,./Data/cactus/6.jpg,./Data/cactus/6.png,0.401785714285714,0.352678571428571,0.571428571428571,0.741071428571429,0.486607142857143,0.546875,0.169642857142857,0.388392857142857,0
cactus,./Data/cactus/7.jpg,./Data/cactus/7.png,0.352678571428571,0.223214285714286,0.767857142857143,0.450892857142857,0.560267857142857,0.337053571428571,0.415178571428571,0.227678571428571,0
cactus,./Data/cactus/3.jpg,./Data/cactus/3.png,0.129464285714286,0.263392857142857,0.482142857142857,0.633928571428571,0.305803571428571,0.448660714285714,0.352678571428571,0.370535714285714,0
cactus,./Data/cactus/1.jpg,./Data/cactus/1.png,0.321428571428571,0.267857142857143,0.821428571428571,0.995535714285714,0.571428571428571,0.631696428571429,0.5,0.727678571428571,0
cactus,./Data/cactus/2.jpg,./Data/cactus/2.png,0.459821428571429,0.116071428571429,0.825892857142857,0.888392857142857,0.642857142857143,0.502232142857143,0.366071428571429,0.772321428571429,0
cactus,./Data/cactus/8.jpg,./Data/cactus/8.png,0.352678571428571,0.205357142857143,0.723214285714286,0.705357142857143,0.537946428571429,0.455357142857143,0.370535714285714,0.5,0
cactus,./Data/cactus/9.jpg,./Data/cactus/9.png,0.232142857142857,0.294642857142857,0.633928571428571,0.59375,0.433035714285714,0.444196428571429,0.401785714285714,0.299107142857143,0
cactus,./Data/cactus/5.jpg,./Data/cactus/5.png,0.254464285714286,0.049107142857143,0.825892857142857,0.651785714285714,0.540178571428571,0.350446428571429,0.571428571428571,0.602678571428571,0
briefcase,./Data/briefcase/4.jpg,./Data/briefcase/4.png,0.410714285714286,0.450892857142857,0.65625,0.745535714285714,0.533482142857143,0.598214285714286,0.245535714285714,0.294642857142857,1
briefcase,./Data/briefcase/10.jpg,./Data/briefcase/10.png,0.205357142857143,0.120535714285714,0.776785714285714,0.892857142857143,0.491071428571429,0.506696428571429,0.571428571428571,0.772321428571429,1
briefcase,./Data/briefcase/6.jpg,./Data/briefcase/6.png,0.419642857142857,0.133928571428571,0.544642857142857,0.379464285714286,0.482142857142857,0.256696428571429,0.125,0.245535714285714,1
briefcase,./Data/briefcase/7.jpg,./Data/briefcase/7.png,0.049107142857143,0.111607142857143,0.879464285714286,0.790178571428571,0.464285714285714,0.450892857142857,0.830357142857143,0.678571428571429,1
briefcase,./Data/briefcase/3.jpg,./Data/briefcase/3.png,0.174107142857143,0.102678571428571,0.834821428571429,0.919642857142857,0.504464285714286,0.511160714285714,0.660714285714286,0.816964285714286,1
briefcase,./Data/briefcase/1.jpg,./Data/briefcase/1.png,0.098214285714286,0.013392857142857,0.915178571428571,0.915178571428571,0.506696428571429,0.464285714285714,0.816964285714286,0.901785714285714,1
briefcase,./Data/briefcase/2.jpg,./Data/briefcase/2.png,0.241071428571429,0.165178571428571,0.736607142857143,0.941964285714286,0.488839285714286,0.553571428571429,0.495535714285714,0.776785714285714,1
briefcase,./Data/briefcase/8.jpg,./Data/briefcase/8.png,0.272321428571429,0.1875,0.928571428571429,0.946428571428571,0.600446428571429,0.566964285714286,0.65625,0.758928571428571,1
briefcase,./Data/briefcase/9.jpg,./Data/briefcase/9.png,0.116071428571429,0.160714285714286,0.892857142857143,0.897321428571429,0.504464285714286,0.529017857142857,0.776785714285714,0.736607142857143,1
briefcase,./Data/briefcase/5.jpg,./Data/briefcase/5.png,0.049107142857143,0.053571428571429,0.875,0.995535714285714,0.462053571428571,0.524553571428571,0.825892857142857,0.941964285714286,1
pillow,./Data/pillow/4.jpg,./Data/pillow/4.png,0,0.098214285714286,0.995535714285714,0.995535714285714,0.497767857142857,0.546875,0.995535714285714,0.897321428571429,2
pillow,./Data/pillow/10.jpg,./Data/pillow/10.png,0.075892857142857,0.34375,0.950892857142857,0.901785714285714,0.513392857142857,0.622767857142857,0.875,0.558035714285714,2
pillow,./Data/pillow/6.jpg,./Data/pillow/6.png,0,0.40625,0.977678571428571,0.995535714285714,0.488839285714286,0.700892857142857,0.977678571428571,0.589285714285714,2
pillow,./Data/pillow/7.jpg,./Data/pillow/7.png,0.071428571428572,0.21875,0.870535714285714,0.839285714285714,0.470982142857143,0.529017857142857,0.799107142857143,0.620535714285714,2
pillow,./Data/pillow/3.jpg,./Data/pillow/3.png,0.549107142857143,0.450892857142857,0.883928571428571,0.852678571428571,0.716517857142857,0.651785714285714,0.334821428571428,0.401785714285714,2
pillow,./Data/pillow/1.jpg,./Data/pillow/1.png,0,0.102678571428571,0.991071428571429,0.995535714285714,0.495535714285714,0.549107142857143,0.991071428571429,0.892857142857143,2
pillow,./Data/pillow/2.jpg,./Data/pillow/2.png,0.120535714285714,0.196428571428571,0.910714285714286,0.799107142857143,0.515625,0.497767857142857,0.790178571428571,0.602678571428571,2
pillow,./Data/pillow/8.jpg,./Data/pillow/8.png,0.098214285714286,0.102678571428571,0.861607142857143,0.946428571428571,0.479910714285714,0.524553571428571,0.763392857142857,0.84375,2
pillow,./Data/pillow/9.jpg,./Data/pillow/9.png,0.169642857142857,0.325892857142857,0.776785714285714,0.879464285714286,0.473214285714286,0.602678571428571,0.607142857142857,0.553571428571429,2
pillow,./Data/pillow/5.jpg,./Data/pillow/5.png,0.0625,0.446428571428571,0.933035714285714,0.897321428571429,0.497767857142857,0.671875,0.870535714285714,0.450892857142857,2
window_shade,./Data/window_shade/4.jpg,./Data/window_shade/4.png,0.084821428571429,0.066964285714286,0.950892857142857,0.973214285714286,0.517857142857143,0.520089285714286,0.866071428571429,0.90625,3
window_shade,./Data/window_shade/10.jpg,./Data/window_shade/10.png,0.174107142857143,0.03125,0.8125,0.879464285714286,0.493303571428571,0.455357142857143,0.638392857142857,0.848214285714286,3
